Duration,Finished,gender,age,pid7,ideo5,race,race_8_TEXT,race_commitment,citizenship,american_commitment,other_commitment,expert_mistrust1,expert_mistrust2,attention_check1,authoritarianism1,authoritarianism2,authoritarianism3,authoritarianism4,ethnocentrism_1,ethnocentrism_2,ethnocentrism_3,ethnocentrism_4,ethnocentrism_5,ethnocentrism_6,stereotype_lazy_1,stereotype_lazy_2,stereotype_lazy_3,stereotype_lazy_4,stereotype_lazy_5,stereotype_lazy_6,stereotype_violent_1,stereotype_violent_2,stereotype_violent_3,stereotype_violent_4,stereotype_violent_5,stereotype_violent_6,stereotype_unintelli_1,stereotype_unintelli_2,stereotype_unintelli_3,stereotype_unintelli_4,stereotype_unintelli_5,stereotype_unintelli_6,egalitarianism1,egalitarianism2,egalitarianism3,attention_check2,monitor1,monitor2,monitor3,anti-elitism1,anti-elitism2,anti-elitism3,attention_check3,mcheck_open,mcheck_closed,diversity1,diversity2,diversity3,diversity4,diversity5,diversity6,MC_cultural1,MC_cultural2,MC_cultural3,MC_cultural4,MC_social1,MC_social2,MC_social3,MC_social4,MC_diversitycons1,MC_diversitycons2,MC_diversitycons3,MC_diversitycons4,MC_equity1,MC_equity2,MC_equity3,MC_equity4,respondent_reaction,exp_condition
473,1,0,1,2,3,7,,1,1,3,,4,4,5,0,0,1,0,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,1,2,2,3,1,3,4,5,I think it shows how powerful some ads can be,3,2,3,3,3,4,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,,Control
600,1,0,1,4,1,7,,3,1,4,,2,5,5,0,0,1,0,100,100,100,100,100,100,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,5,5,5,"Striving towards racial diversity seeks to ensure equitable representation, equitable outcomes, and thus a more equitable society. ",3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,"I am troubled that people, especially within the political science department, would be against racial integration and promotion of racial equity and diversity. ",TreatmentC-ProDiversity
860,1,0,1,1,2,4,,4,1,4,,1,2,5,0,0,1,0,100,100,100,100,100,100,2,2,5,3,4,2,2,2,4,4,4,4,3,2,3,3,3,3,1,1,1,1,1,4,2,3,4,4,5,From what I read I can concur that the commentator feels negatively towards immigration. I understood that they believe people should remain in their own states/countries to preserve that culture.,1,1,1,1,1,1,3,3,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,"I think that racial and ethnic differences should be celebrated. Although some conflict can arise at the start, with time and interaction things will hopefully begin to change.",TreatmentB-HardSell
568,1,0,1,5,4,7,,3,1,4,,4,5,5,1,1,0,1,80,100,100,100,100,20,3,2,2,2,4,3,5,2,5,2,2,6,4,2,5,2,5,5,4,4,4,1,3,2,3,3,2,1,5,Basically that everyone will do better in a society that is more inclusive ,3,2,1,1,2,4,4,3,1,2,2,4,4,2,3,4,2,3,4,3,3,3,3,,TreatmentC-ProDiversity
471,1,0,1,3,2,7,,1,1,2,,2,4,5,0,0,1,0,80,80,80,40,80,80,2,2,2,5,2,2,2,2,2,5,2,2,2,2,2,5,2,2,2,2,2,1,3,3,3,4,3,4,4,"Some groups are more powerful than others. Racial diversity will grow, there is natural separation between communities.  ",1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,TreatmentA-SoftSell
553,1,0,1,4,3,7,,1,1,3,,2,4,5,0,0,1,0,100,100,100,60,100,100,1,1,1,2,1,1,3,2,4,4,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,1,5,Everyone should be kept in their own groups to protect culture. It’s becoming a growing concern with the increase in immigration,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,3,1,1,1,1,I was shocked they suggested keeping us separate to protect culture. ,TreatmentB-HardSell
1048,1,1,1,3,3,3,,5,1,3,,2,4,5,1,1,0,1,80,80,100,80,80,80,3,2,2,4,3,1,3,3,5,3,2,4,3,2,5,3,3,4,1,2,2,1,1,2,2,2,3,4,5,"Adélie penguins were discovered by a Frenchman who named them after his wife. They are small, only standing at around 2 feet tall and weighing between 6 and 18 pounds. Their features are very similar to the cartoon character Pingu.",4,2,1,1,1,3,2,3,1,1,1,2,1,1,1,1,3,1,3,1,1,2,2,I was a bit thrown off considering the commentary I read and then questions I had before and after the commentary were not related to penguins at all.,Control
920,1,1,1,3,4,7,,1,1,3,,2,2,4,0,0,1,0,60,90,70,90,80,80,2,1,3,2,2,1,6,1,5,3,2,4,5,2,6,5,3,4,2,1,2,1,3,2,2,2,4,2,5,"Adelie penguins are a species of small penguins with notable features such as flack coats, white bellies, and white irises.",4,2,2,1,1,3,3,2,2,4,2,4,2,1,1,5,4,5,2,1,1,1,1,,Control
1077,1,0,1,5,3,7,,3,1,4,,2,5,5,0,0,1,0,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,2,3,4,3,5,Key points I thought were that we need to address racism/xenopheniba and if we do not it will persistent ,3,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,2,3,1,1,1,1,,TreatmentB-HardSell
1264,1,0,1,1,1,7,,2,1,3,,2,4,5,0,0,1,0,80,70,90,80,80,80,2,2,1,3,2,1,3,3,3,5,3,5,3,3,2,2,3,2,1,2,1,1,2,5,2,1,5,3,5,The commentary emphasized an inclusive society. It stated that we are better off when we embrace all cultures and make an effort to include everyone,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,I agreed with it!,TreatmentC-ProDiversity
765,1,1,1,2,2,7,,1,1,5,,1,4,5,0,0,1,0,30,30,30,30,30,30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,1,4,1,5,There was 2 people and they discovered penguins and it was a significant discovery for science.,4,1,2,1,1,3,4,1,1,3,2,3,1,1,1,5,5,3,3,1,1,1,1,,Control
2445,1,0,1,6,3,7,,2,1,4,,2,4,5,1,1,0,1,70,70,70,80,70,70,2,2,2,3,2,1,3,2,2,2,2,2,1,1,1,1,1,1,2,4,4,1,2,3,2,2,4,3,5,"The racial diversity is an important issue that must be taken seriously, to the point that each person should take a strong look at themselves and how they stand on it.",3,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,4,4,2,4,4,,TreatmentB-HardSell
935,1,0,1,4,1,5,,5,1,2,,1,4,5,1,1,0,1,100,90,90,20,90,100,1,1,1,4,1,1,1,1,1,6,1,1,1,1,1,4,1,1,2,2,1,1,2,2,3,3,4,3,5,Key points include that immigration increases diversity and is beneficial for our personal well being because it teaches us new things and we can work together in a diverse environment.,3,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,"As an immigrant and refugee myself, I support it and I believe it present a valid argument.",TreatmentC-ProDiversity
2603,1,0,1,2,2,7,,2,1,2,,1,5,5,0,0,1,0,50,60,70,70,70,50,3,3,3,3,3,1,3,3,5,5,3,3,2,2,3,3,3,5,1,2,2,1,4,4,3,4,3,1,5,"racial discrimination 
",1,1,1,1,1,2,2,1,1,2,1,2,1,1,3,4,2,4,3,1,1,1,1,"honestly, I was transitioning between classes and didn't get to fully comprehend it.",TreatmentA-SoftSell
823,1,1,1,4,1,7,,1,1,1,,1,1,5,1,1,0,1,50,20,50,50,50,50,3,3,6,3,3,3,6,6,6,7,6,6,2,1,5,2,3,3,1,1,1,1,3,3,2,5,5,1,5,"Diversity is important for equality, immigration is what leads to it.",3,3,1,1,2,3,1,2,1,2,4,1,2,1,1,1,2,1,2,1,1,1,1,It sounded pretty reasonable but I was like aw man this guy is one of those liberals obsessed with race,TreatmentC-ProDiversity
1167,1,0,1,1,1,3,,4,1,1,,2,4,5,0,0,1,0,90,90,100,40,90,90,2,2,2,2,2,2,4,3,4,5,2,4,3,3,3,3,3,3,1,1,1,1,3,4,2,2,5,5,5,The commentator believes that racial diversity is a waste of time because people are not focusing on the biological differences between racial groups that make some inferior to others. They believe that diversity will continue to grow because of immigration and that we cannot dismiss these conversations as racism because the actual inferiorities of the races should be addressed. They end by saying that all ethnic groups should live in separate spaces from one another to avoid any commingling. ,2,1,1,2,1,3,1,1,1,2,2,1,2,1,2,2,1,1,2,1,1,1,1,I thought that it was pretty jarring to read. I do not agree with the biological difference argument when it comes to racial discrimination. ,TreatmentB-HardSell
685,1,0,1,6,4,7,,1,0,,3,4,4,5,1,1,0,1,20,20,20,90,20,20,4,4,4,4,4,4,5,3,7,5,4,6,4,5,3,3,3,4,4,2,4,1,2,4,2,3,4,2,5,"A guy discovered smallest penguins in antartica, named them after his wife. The are all black with white feathers on their bellies. They have white iris with black pupils",4,3,4,2,3,4,3,4,4,4,4,4,4,4,3,4,4,3,4,2,4,4,3,,Control
1289,1,1,1,5,4,7,,1,1,5,,4,4,5,1,1,0,1,40,80,70,90,50,60,2,1,6,3,6,1,6,3,5,3,1,3,4,1,6,3,6,5,5,4,4,1,2,4,2,4,4,1,5,"The main points were the primary focus on diversity has actually created generalizations about different groups. According to the commentary, too much diversity has created a loss in culture. ",1,4,1,3,4,4,4,4,2,4,4,3,5,2,3,3,4,3,4,2,2,2,5,"I generally thought it was reasonable. I think in general, foreign cultures who come to the United States legally need to acclimate with our culture if the culture they come from is generally destructive. Having less immigrants enter overall and allowing those with positive traits mirroring immigration systems from other countries like Australia would make the country better. 

Again, it's good to point out that legal immigration from those across the world who wish to make our country better/make their lives better here through dedication and hard work is a huge net benefit to society and has built America into what we've become today. ",TreatmentA-SoftSell
1869,1,0,1,1,2,7,,2,1,4,,1,2,5,0,0,1,0,50,90,90,80,90,60,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,2,3,2,1,3,2,5,Societies are better off when more diverse because we are able to learn from one another's learned and cultural experiences. ,3,3,5,2,1,2,2,2,1,2,1,1,1,1,2,3,1,1,3,1,1,1,1,I think that is was interesting that some people have such negative reactions or feelings to different cultures and immigrants. ,TreatmentC-ProDiversity
912,1,1,1,3,3,7,,2,1,4,,1,5,5,1,1,0,1,30,70,80,80,50,50,2,2,2,4,4,1,3,3,5,4,2,5,2,2,4,2,4,4,3,4,2,1,2,4,2,2,2,1,5,"My main takeaway of this piece was that diversity is essentially bad in practice. Diversity takes away from people's cultures and when there are attempts to fix the problem, it only gets worse.",3,2,1,1,2,4,3,2,1,4,2,3,3,3,2,4,3,4,4,4,3,2,2,"I thought it was kind of ridiculous. Very direct and choppy, but made that way to make the reader feel a certain way.",TreatmentB-HardSell
2058,1,0,1,6,4,7,,3,1,2,,2,3,5,1,1,0,1,50,50,50,100,50,50,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,2,3,2,1,2,3,5,That the world should focus on inclusitivioty. This will help everyone to learn and benefit from each others cultures and way of living.,3,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,3,2,2,2,1,,TreatmentC-ProDiversity
1227,1,0,1,4,3,5,,5,1,5,,1,3,5,0,0,1,0,100,100,90,40,100,60,4,2,4,5,4,3,5,1,5,7,4,4,3,1,4,5,4,4,1,2,1,1,1,4,2,5,5,2,5,"'- Everyone should live in their own ethno-states.
- Diversity or the whole idea of the ""melting pot"" is not feasible. 
-Each racial group has their own set of values and traits that make it difficult to cooperate with other racial groups. ",1,5,3,2,1,2,1,4,1,4,2,3,2,1,1,3,2,3,1,1,1,1,1,Nationalism and how people utilize the idealogy for racism. ,TreatmentB-HardSell
1473,1,1,1,4,1,4,,4,1,1,,2,5,5,0,0,1,0,50,20,90,0,70,100,3,2,3,6,4,1,4,4,4,4,4,4,3,2,3,3,2,5,1,3,1,1,1,4,2,5,5,5,5,French explorer Adelie D’uville named the 26 in penguin after his wife adele. The penguins are black in the throat back and top of head. The penguins are native to anatratica.,4,1,1,1,1,5,3,1,1,2,1,4,1,2,1,4,1,2,1,1,1,2,2,I did not care for it. It was pointless as I have no interest in zoology.,Control
1164,1,0,1,3,3,7,,1,1,3,,2,4,5,0,0,1,0,60,60,70,20,60,90,6,6,6,6,6,6,2,2,2,3,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,4,5,2,5,A man discovered a penguin species and named it after his wife. The penguin is tiny and has very prominent dark/blackish eyes.,4,1,2,2,1,3,1,2,1,4,3,2,1,1,1,2,2,2,3,1,1,1,1,I felt like some of the questions were especially difficult to answer given that there were not many answers that best fit how I felt maybe I am overthinking things but thats what I'm feeling. ,Control
734,1,0,1,1,2,2,,5,1,4,,1,4,5,0,0,1,0,40,70,30,50,70,70,3,2,5,4,2,1,5,2,6,5,3,2,3,1,5,5,3,2,2,1,2,1,1,3,2,1,4,2,5,"Policies aimed at reducing racial discrimination and promoting equality will only make the issues worse. This is because each racial group has their own interests and preferences of living. Diversity is only going to keep expanding due to immigration, so there’s no point in making these policies. We are better off living with our own racial groups rather than intertwined with others. ",1,1,3,1,1,4,4,1,1,2,1,1,1,2,2,2,1,2,1,1,1,1,1,,TreatmentA-SoftSell
758,1,0,1,1,1,7,,2,1,2,,2,4,5,0,0,1,0,100,100,100,80,100,100,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,4,5,1,5,"Communities should remain hegemonous, and showing concerns about changes in culture is a dialogue that should not be considered racist. ",3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,TreatmentA-SoftSell
720,1,1,1,4,1,7,,1,1,2,,2,5,5,0,0,1,0,80,90,80,80,90,100,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,4,4,4,1,2,4,2,5,5,4,5,"Adelie penguins were discovered by a dude who's wife had the name Adele. They are the smallest penguin species. Similar to Pingo. Have distinct eyes. 6-18 pounds, 28 inches tall",4,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,2,3,1,1,1,1,"I did not know there were penguins that small and am planning on looking up photos of them when I'm done. I imagine there's some underlying theme to that story that i don't care to pick up on, but thanks for letting me know about a cute penguin that'll help me start my day off with a smile!",Control
516,1,1,1,2,2,7,,2,1,2,,3,4,5,0,0,1,0,50,50,50,50,50,50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3,1,2,3,2,3,3,3,5,People would be better off living in there own groups.,3,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,3,2,2,3,2,,TreatmentC-ProDiversity
1028,1,0,1,2,2,7,,2,1,4,,1,2,5,0,0,1,0,80,90,90,60,100,90,1,1,1,1,1,1,1,1,2,4,1,1,2,1,2,3,1,2,1,1,2,1,2,4,3,2,4,2,5,"Racial diversity is the way of life. Immigration creates diversity. We must not look at conversation of racial inequalities as conversations of racism and to preserve our culture,  we should live in separate entro-centric states. ",2,1,2,1,1,3,2,3,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,Very pessimistic. I believe we can preserve cultures and peace and create a more equitable society through intermingling. I also think we need to acknowledge that racism has created many problems we currently face today and that talking about racism is good for processing our systemic issues in this county and hopefully making progress to improve these areas. ,TreatmentB-HardSell
7350,1,1,1,2,2,7,,2,1,4,,2,4,5,1,1,0,1,50,60,80,30,50,50,4,4,4,3,4,6,4,4,4,4,4,4,4,2,4,4,4,3,1,2,2,1,2,3,2,2,2,1,5,"Current policies don't necessarily help promote diversity, they advantage some groups over others. It would be better if we all just stayed in our silos and stuck to our ways of life that are insulated from others.",3,1,1,1,1,2,2,2,2,2,2,2,1,1,1,4,4,2,3,3,3,3,3,"I was surprised by the turn at the end of the commentary that said that groups should just stick to themselves and not bother with learning about others. I feel as though there can be disagreements or misunderstandings between people of different ethnic or cultural groups, but when they are overcome, they can create a stronger and more connected society. ",TreatmentA-SoftSell
6084,1,0,1,5,3,2,,4,1,3,,1,2,5,1,1,0,1,50,50,50,50,50,50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,1,1,5,4,3,3,3,5,The small breed of penguins were discovered and the person who discovered the penguins named the species after his wife Adele they are mainly known for their eyes white rings around a black eye,4,1,1,1,1,3,2,2,1,2,3,3,3,1,3,3,1,3,3,1,1,1,1,It was interesting fact,Control
4867,1,0,1,1,1,7,,2,1,4,,1,4,5,0,0,1,0,90,90,90,90,90,90,1,1,1,1,1,1,4,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,5,1,3,5,5,2,5,Diversity is a tool to make a richer society and it benefits everyone. ,3,1,1,1,1,2,2,2,1,2,1,2,1,1,1,4,2,4,4,1,1,1,1,,TreatmentC-ProDiversity
1680,1,0,1,7,5,7,,2,1,4,,2,3,5,0,0,1,0,100,100,100,100,100,100,4,4,4,4,4,4,4,4,5,4,4,4,4,2,4,4,4,4,4,2,2,1,2,4,2,1,2,2,5,The text argues that racial diversity is a failed experiment leading to dominance by certain grouped with winners and losers. It claimed that policies aimed at reducing group inequality are ineffective because they overlook biological differences between races and that different lifestyles cant be harmonized. It said that separation through ethno-states would be best to protect each culture and identities. ,2,2,4,1,2,3,2,3,1,4,2,3,4,1,3,2,2,3,4,1,1,1,1,,TreatmentB-HardSell
5442,1,0,1,1,2,7,,1,1,3,,1,4,5,0,0,1,0,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,3,2,2,4,3,5,People should live in places with their own ethnicity because they can relate to each other more.,1,2,2,1,1,3,3,2,1,1,2,1,2,1,3,1,1,3,3,1,1,1,1,Some of the questions did not really concern me so I answered the neither option. ,TreatmentB-HardSell
602,1,0,1,2,2,7,,2,1,4,,2,4,5,1,1,0,1,60,100,100,100,100,70,2,2,2,2,2,2,5,4,5,5,5,5,2,1,2,2,2,3,1,1,2,1,2,2,3,2,4,2,5,the key point seemed to be that each distinct group should be segregated from each other so that they can keep their ways of life,1,1,1,1,1,2,1,1,1,3,1,2,1,2,1,4,4,1,2,1,1,1,1,It reflects how policy makers seem to be thinking these days as they are scared of immigrants ,TreatmentA-SoftSell
736,1,1,1,7,4,7,,1,1,5,,4,4,5,0,0,1,0,80,80,70,80,80,70,1,1,4,5,4,1,4,1,5,3,4,5,2,1,5,3,4,2,5,5,2,1,2,2,4,1,1,4,5,"Diversity policies work, immigration flourishes our culture and society.
DEI policies address inequalities",3,5,3,1,4,5,4,4,4,5,2,4,5,1,1,2,1,3,4,3,5,2,2,"It’s an opinion piece, I’d like to see some data to prove the claims made",TreatmentC-ProDiversity
997,1,1,1,5,4,7,,1,1,4,,2,5,5,1,1,0,1,60,60,70,60,60,60,4,4,4,4,3,2,4,4,5,5,3,3,5,3,4,4,5,5,3,2,2,1,2,4,2,2,2,2,5,The summary of the original findings of the penguin species. ,4,2,2,2,2,4,2,2,1,3,2,1,3,2,2,2,2,2,2,4,4,2,2,,Control
843,1,0,1,1,2,7,,2,1,3,,3,5,5,1,1,0,1,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,4,5,1,5,They believe that race issues should just boil down to biology and we should leave it at that and separate people.,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,I think it's ridiculous.,TreatmentB-HardSell
1292,1,0,1,5,3,7,,1,1,3,,2,3,5,1,1,0,1,50,50,50,50,50,50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,1,2,4,3,1,4,1,5,People struggle for equality,3,1,2,2,2,2,2,1,2,2,2,2,2,1,3,2,2,2,2,3,3,3,3,,TreatmentA-SoftSell
